#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
SETD4-21-1	chr21	-	36034541	36061037	SETD4	54093
VAMP1-12-1	chr12	-	6462237	6470899	VAMP1	6843
APOO-23-1	chrX	-	23833348	23907940	APOO	79135
RPGRIP1-14-1	chr14	+	21287977	21351316	RPGRIP1	57096
STARD3NL-7-1	chr7	+	38178206	38230671	STARD3NL	83930
USP51-23-1	chrX	-	55484524	55489875	USP51	158880
KIFC1-6-1	chr6	+	33391524	33410226	KIFC1	3833
GAS2L1-22-1	chr22	+	29306650	29312789	GAS2L1	10634
XYLB-3-1	chr3	+	38346760	38453041	XYLB	9942
LINC01650-1-1	chr1	-	95351251	95352107	LINC01650	101928169
PCDHA11-5-1	chr5	+	140867513	141012344	PCDHA11	56138
CASC8-8-1	chr8	-	127289676	127482139	CASC8	727677
SCARB2-4-1	chr4	-	76158737	76213899	SCARB2	950
LOC100506682-7-1	chr7	+	127476883	127485804	LOC100506682	100506682
PPFIBP2-11-1	chr11	+	7513765	7666642	PPFIBP2	8495
MIR580-5-1	chr5	-	36147892	36147988	MIR580	693165
EIF4E3-3-1	chr3	-	71679289	71754773	EIF4E3	317649
ADAM2-8-1	chr8	-	39743735	39838289	ADAM2	2515
MPV17L2-19-1	chr19	+	18193230	18196742	MPV17L2	84769
LBR-1-1	chr1	-	225401502	225428855	LBR	3930
DLX2-AS1-2-1	chr2	+	172103006	172109982	DLX2-AS1	104326193
CPN1-10-1	chr10	-	100042308	100081885	CPN1	1369
SNORD115-31-15-1	chr15	+	25227109	25227190	SNORD115-31	100033805
CXADR-21-1	chr21	+	17512906	17636213	CXADR	1525
SCARNA26A-1-1	chr1	-	155679108	155679255	SCARNA26A	106633810
GPR135-14-1	chr14	-	59452773	59465636	GPR135	64582
CECR7-22-1	chr22	+	17036570	17060070	CECR7	100130418
RSL24D1-15-1	chr15	-	55181314	55197033	RSL24D1	51187
INSRR-1-1	chr1	-	156840873	156858920	INSRR	3645
FBXO27-19-1	chr19	-	39007064	39032596	FBXO27	126433
UG0898H09-8-1	chr8	+	62977861	62984901	UG0898H09	643763
C21ORF59-21-1	chr21	-	32599354	32612871	CFAP298	56683
SLC6A13-12-1	chr12	-	220621	262930	SLC6A13	6540
ENPP2-8-1	chr8	-	119557077	119673576	ENPP2	5168
MYO6-6-1	chr6	+	75749176	75919537	MYO6	4646
LOC101928737-16-1	chr16	+	87494187	87515630	LOC101928737	101928737
GJA4-1-1	chr1	+	34792958	34795747	GJA4	2701
CASC15-6-1	chr6	+	21666413	22195820	CASC15	401237
ACRC-23-1	chrX	+	71578024	71613583	GCNA	93953
RBMS3-AS1-3-1	chr3	-	29926811	29934156	RBMS3-AS1	100873977
OMP-11-1	chr11	+	77102840	77103331	OMP	4975
TMEM218-11-1	chr11	-	125094370	125111763	TMEM218	219854
STEAP3-2-1	chr2	+	119222476	119265652	STEAP3	55240
NPIPA1-16-1	chr16	+	14937443	14952060	NPIPA1	9284
ZNF492-19-1	chr19	+	22634324	22667670	ZNF492	57615
HSPE1-2-1	chr2	+	197499997	197503463	HSPE1	3336
IFNA6-9-1	chr9	-	21350318	21350887	IFNA6	3443
KIAA1161-9-1	chr9	-	34366149	34376952	MYORG	57462
FOXD4L1-2-1	chr2	+	113499084	113501150	FOXD4L1	200350
SPTLC3-20-1	chr20	+	13008954	13169103	SPTLC3	55304
SNORD13F-11-1	chr11	+	66053144	66053228	SNORD13F	109616986
CTD-3080P12.3-5-1	chr5	-	1173096	1178605	CTD-3080P12.3	101928857
C9ORF24-9-1	chr9	-	34378463	34397942	C9orf24	84688
KMT2E-7-1	chr7	+	104940949	105114085	KMT2E	55904
RNU6-9-19-1	chr19	+	893484	893590	RNU6-9	101954271
PGC-6-1	chr6	-	41736711	41747401	PGC	5225
KIAA1958-9-1	chr9	+	112486968	112665311	KIAA1958	158405
MIR548D2-17-1	chr17	-	67471489	67471585	MIR548D2	693131
MRPL40-22-1	chr22	+	19431902	19436078	MRPL40	64976
GUCY1B3-4-1	chr4	+	155758973	155807642	GUCY1B1	2983
FAHD2B-2-1	chr2	-	97080738	97094882	FAHD2B	151313
TMEM185B-2-1	chr2	-	120217471	120223408	TMEM185B	79134
PUM1-1-1	chr1	-	30931506	31065717	PUM1	9698
C12ORF43-12-1	chr12	-	121002422	121016502	C12orf43	64897
HM13-AS1-20-1	chr20	-	31567587	31573263	HM13-AS1	100874042
FAM196A-10-1	chr10	-	127135426	127196573	FAM196A	642938
ZNF141-4-1	chr4	+	337779	384864	ZNF141	7700
RIOK2-5-1	chr5	-	97160867	97183301	RIOK2	55781
LOC102546299-5-1	chr5	+	164470279	164542984	LOC102546299	102546299
H2BFXP-23-1	chrX	+	103975924	103978357	H2BFXP	767811
TMUB2-17-1	chr17	+	44186951	44191929	TMUB2	79089
FUBP3-9-1	chr9	+	130579573	130638352	FUBP3	8939
POP7-7-1	chr7	+	100706053	100707500	POP7	10248
CSRP1-1-1	chr1	-	201483530	201507259	CSRP1	1465
LOC541473-7-1	chr7	-	75391949	75395461	LOC541473	541473
ARHGAP8-22-1	chr22	+	44752558	44862784	ARHGAP8	23779
RPTOR-17-1	chr17	+	80544825	80966373	RPTOR	57521
OR11L1-1-1	chr1	-	247840928	247841896	OR11L1	391189
GAPDH-12-1	chr12	+	6534517	6538375	GAPDH	2597
MIR6876-8-1	chr8	+	25345402	25345474	MIR6876	102465527
MNX1-AS1-7-1	chr7	+	157010857	157016424	MNX1-AS1	645249
POMT2-14-1	chr14	-	77274956	77320885	POMT2	29954
HOXC-AS2-12-1	chr12	-	53995208	53996785	HOXC-AS2	100874364
LOC401261-6-1	chr6	+	42783496	42791323	LOC401261	401261
UBE2MP1-16-1	chr16	-	35169431	35170391	UBE2MP1	606551
LOC101927987-2-1	chr2	-	79493716	79500844	LOC101927987	101927987
SSB-2-1	chr2	+	169798812	169812064	SSB	6741
SDR42E1-16-1	chr16	-	81997646	82011526	SDR42E1	93517
SHD-19-1	chr19	+	4278601	4290723	SHD	56961
SLC35B4-7-1	chr7	-	134289337	134320307	SLC35B4	84912
GDPD3-16-1	chr16	-	30104810	30113557	GDPD3	79153
CNDP1-18-1	chr18	+	74534457	74585025	CNDP1	84735
PRR23D1-8-1	chr8	+	7536671	7542450	PRR23D1	100131608
DLD-7-1	chr7	+	107891107	107921198	DLD	1738
LINC01152-17-1	chr17	+	72030654	72041297	LINC01152	102606463
PFN1P2-1-1	chr1	-	120432204	120434109	PFN1P2	767846
HOXB3-17-1	chr17	-	48548870	48590272	HOXB3	3213
CCDC86-11-1	chr11	+	60841956	60851088	CCDC86	79080
TTLL3-3-1	chr3	+	9809960	9836356	TTLL3	26140
DCAF4-14-1	chr14	+	72926332	72962098	DCAF4	26094
DONSON-21-1	chr21	-	33577551	33588708	DONSON	29980
CARD14-17-1	chr17	+	80169992	80209331	CARD14	79092
LOC101928075-14-1	chr14	-	70608798	70641298	LOC101928075	101928075
MIR3621-9-1	chr9	-	137169186	137169270	MIR3621	100500811
HLA-DPA1-6-1	chr6	-	33064569	33080778	HLA-DPA1	3113
SLC6A11-3-1	chr3	+	10816200	10940733	SLC6A11	6538
GCFC2-2-1	chr2	-	75655606	75711642	GCFC2	6936
IL3RA-23-1	chrX	+	1336574	1382689	IL3RA	3563
LOC101928009-1-1	chr1	+	153174518	153191676	LOC101928009	101928009
CSTF3-AS1-11-1	chr11	+	33161657	33191598	CSTF3-AS1	338739
EXOSC4-8-1	chr8	+	144064061	144080648	EXOSC4	54512
IDH1-2-1	chr2	-	208236227	208255143	IDH1	3417
FOXP1-AS1-3-1	chr3	+	71289758	71305854	FOXP1-AS1	104502416
C17ORF51-17-1	chr17	-	21524606	21551678	C17orf51	339263
RPL6-12-1	chr12	-	112405181	112418850	RPL6	6128
PLAGL2-20-1	chr20	-	32192504	32207743	PLAGL2	5326
TMSB10-2-1	chr2	+	84905639	84906675	TMSB10	9168
PGM5P3-AS1-9-1	chr9	+	72690	88826	PGM5P3-AS1	101929127
CBX7-22-1	chr22	-	39130772	39152650	CBX7	23492
LOC285696-5-1	chr5	-	17130028	17217422	BASP1-AS1	285696
MRPL23-11-1	chr11	+	1947272	2013176	MRPL23	6150
SEMA5A-5-1	chr5	-	9035026	9546121	SEMA5A	9037
BMP7-AS1-20-1	chr20	+	57213696	57215866	BMP7-AS1	102723590
TRIM71-3-1	chr3	+	32818018	32897826	TRIM71	131405
LOC102467216-5-1	chr5	-	112656428	112682888	LOC102467216	102467216
FUNDC1-23-1	chrX	-	44523639	44542975	FUNDC1	139341
PRKCZ-1-1	chr1	+	2050470	2185399	PRKCZ	5590
ZNF546-19-1	chr19	+	39995361	40021041	ZNF546	339327
LOC100130172-5-1	chr5	+	138032774	138038933	LOC100130172	100130172
LINC00424-13-1	chr13	-	21872796	21878160	LINC00424	100874182
MRPS33-7-1	chr7	-	141006161	141014981	MRPS33	51650
LOC100506100-9-1	chr9	+	128724462	128733243	LOC100506100	100506100
LINC01039-13-1	chr13	+	99577112	99585995	LINC01039	104355149
LINC02006-3-1	chr3	-	153383550	153762526	LINC02006	105374165
MIR1305-4-1	chr4	+	182169293	182169378	MIR1305	100302270
TSKU-11-1	chr11	+	76782313	76798154	TSKU	25987
SNORD25-11-1	chr11	-	62855565	62855631	SNORD25	9303
RPPH1-14-1	chr14	-	20343071	20343411	RPPH1	85495
FAM95A-2-1	chr2	-	94755326	94761184	FAM95A	90499
LRP8-1-1	chr1	-	53242364	53328149	LRP8	7804
MIR3150BHG-8-1	chr8	-	95066808	95073182	MIR3150BHG	105375650
MIR6880-12-1	chr12	-	124337181	124337242	MIR6880	102466204
ATP8B1-18-1	chr18	-	57646426	57803822	ATP8B1	5205
ZFHX4-AS1-8-1	chr8	-	76610879	76683275	ZFHX4-AS1	100192378
MIR7153-18-1	chr18	-	11654885	11654941	MIR7153	102465690
FAM26D-6-1	chr6	+	116529013	116561123	CALHM4	221301
R3HDM1-2-1	chr2	+	135531429	135725270	R3HDM1	23518
ARHGAP23-17-1	chr17	+	38419286	38512392	ARHGAP23	57636
MOG-6-1	chr6	+	29656981	29672372	MOG	4340
MIR483-11-1	chr11	-	2134134	2134209	MIR483	619552
PLCL1-2-1	chr2	+	197804702	198149884	PLCL1	5334
LGALS7-19-1	chr19	-	38770968	38773517	LGALS7	3963
CCDC167-6-1	chr6	-	37482920	37499924	CCDC167	154467
ENDOV-17-1	chr17	+	80415117	80438086	ENDOV	284131
DAPP1-4-1	chr4	+	99816824	99872290	DAPP1	27071
DEFB128-20-1	chr20	-	187853	189681	DEFB128	245939
FYCO1-3-1	chr3	-	45917899	45995824	FYCO1	79443
OR2A1-AS1-7-1	chr7	-	144238573	144355718	OR2A1-AS1	101928492
WDR59-16-1	chr16	-	74873568	74985146	WDR59	79726
LOC101928491-6-1	chr6	-	17501360	17511265	LOC101928491	101928491
SWAP70-11-1	chr11	+	9664077	9752991	SWAP70	23075
C19ORF12-19-1	chr19	-	29698886	29715789	C19orf12	83636
MIR943-4-1	chr4	-	1986384	1986477	MIR943	100126332
CXORF31-23-1	chrX	-	46887417	46899704	LINC01545	724087
LOC105377267-4-1	chr4	+	69182100	69216767	LOC105377267	105377267
ZNF786-7-1	chr7	-	149069641	149090777	ZNF786	136051
BRICD5-16-1	chr16	-	2209253	2211068	BRICD5	283870
CEP68-2-1	chr2	+	65056361	65087008	CEP68	23177
C4ORF54-4-1	chr4	-	99636529	99657806	C4orf54	285556
BLVRB-19-1	chr19	-	40447784	40465818	BLVRB	645
BBIP1-10-1	chr10	-	110898730	110919366	BBIP1	92482
HERC2-15-1	chr15	-	28111037	28322173	HERC2	8924
OR9G4-11-1	chr11	-	56742828	56743811	OR9G4	283189
LINC01562-1-1	chr1	-	51195095	51235096	LINC01562	105378716
LINC00515-21-1	chr21	-	25582775	25583224	LINC00515	282566
LOC100506710-9-1	chr9	+	37079896	37090401	EBLN3P	100506710
LOC150935-2-1	chr2	+	239762860	239800664	LOC150935	150935
C10ORF111-10-1	chr10	-	15095385	15097319	C10orf111	221060
CA10-17-1	chr17	-	51630313	52160017	CA10	56934
MIR519B-19-1	chr19	+	53695213	53695293	MIR519B	574469
LOC105378146-6-1	chr6	-	168927741	168964382	LOC105378146	105378146
IL24-1-1	chr1	+	206897404	206904139	IL24	11009
TCTA-3-1	chr3	+	49412206	49416476	TCTA	6988
ADAP2-17-1	chr17	+	30921736	30959398	ADAP2	55803
PDIA3P1-1-1	chr1	+	147177851	147179949	PDIA3P1	171423
CNTN6-3-1	chr3	+	978021	1403610	CNTN6	27255
MIR6503-11-1	chr11	-	60209071	60209156	MIR6503	102465250
SIMC1-5-1	chr5	+	176238359	176345991	SIMC1	375484
RNU1-4-1-1	chr1	+	16740516	16740679	RNU1-4	6060
RBMY1J-24-1	chrY	+	22403410	22419317	RBMY1J	378951
KIAA1731-11-1	chr11	+	93661650	93730381	CEP295	85459
MGLL-3-1	chr3	-	127689062	127823250	MGLL	11343
ZSWIM2-2-1	chr2	-	186827480	186849170	ZSWIM2	151112
UBALD2-17-1	chr17	+	76265205	76271298	UBALD2	283991
TIMP3-22-1	chr22	+	32800816	32863041	TIMP3	7078
DBI-2-1	chr2	+	119366924	119372551	DBI	1622
MIR4729-17-1	chr17	+	59366083	59366154	MIR4729	100616204
LINC01913-2-1	chr2	+	41877555	41894046	LINC01913	388942
CHAMP1-13-1	chr13	+	114314335	114327328	CHAMP1	283489
C16ORF97-16-1	chr16	-	52026305	52078517	C16orf97	388276
MIR6829-3-1	chr3	-	195882329	195882395	MIR6829	102465977
FAM192A-16-1	chr16	-	57152466	57186341	FAM192A	80011
TNFAIP8L3-15-1	chr15	-	51056596	51105276	TNFAIP8L3	388121
HOXC9-12-1	chr12	+	54000119	54003337	HOXC9	3225
IGFBP5-2-1	chr2	-	216672105	216695549	IGFBP5	3488
HERC5-4-1	chr4	+	88456604	88506170	HERC5	51191
LINC00184-1-1	chr1	+	234629311	234634780	LINC00184	100302691
ATXN2L-16-1	chr16	+	28823048	28837237	ATXN2L	11273
SFT2D1-6-1	chr6	-	166319728	166342606	SFT2D1	113402
ACVRL1-12-1	chr12	+	51906913	51923361	ACVRL1	94
MIR4784-2-1	chr2	-	131491160	131491236	MIR4784	100616378
STARD3-17-1	chr17	+	39637080	39664201	STARD3	10948
GRIPAP1-23-1	chrX	-	48973720	49002264	GRIPAP1	56850
NDUFB11-23-1	chrX	-	47142216	47145210	NDUFB11	54539
TGM5-15-1	chr15	-	43232595	43266857	TGM5	9333
MIR5195-14-1	chr14	-	106850885	106850999	MIR5195	100847062
PTGES2-AS1-9-1	chr9	+	128128529	128130634	PTGES2-AS1	389791
SNORA48B-23-1	chrX	-	3532117	3532251	SNORA48B	109616969
CPA3-3-1	chr3	+	148865256	148897091	CPA3	1359
ZNF550-19-1	chr19	-	57541836	57561512	ZNF550	162972
TXLNA-1-1	chr1	+	32179669	32198285	TXLNA	200081
COX6C-8-1	chr8	-	99877995	99894014	COX6C	1345
MIR449A-5-1	chr5	-	55170532	55170622	MIR449A	554213
PPARGC1A-4-1	chr4	-	23792021	24472829	PPARGC1A	10891
FAM13C-10-1	chr10	-	59245933	59363181	FAM13C	220965
REXO1-19-1	chr19	-	1815246	1848683	REXO1	57455
MFAP5-12-1	chr12	-	8645943	8662888	MFAP5	8076
CCDC15-11-1	chr11	+	124954121	125041489	CCDC15	80071
CTXND1-15-1	chr15	-	80195479	80252261	CTXND1	100996492
C14ORF1-14-1	chr14	-	75650890	75661195	ERG28	11161
MOV10L1-22-1	chr22	+	50090006	50161705	MOV10L1	54456
PARVG-22-1	chr22	+	44170228	44208469	PARVG	64098
NEDD9-6-1	chr6	-	11183298	11382348	NEDD9	4739
MIR6818-22-1	chr22	+	30007049	30007113	MIR6818	102466742
SNORD144-4-1	chr4	-	82898140	82898225	SNORD144	106633809
MIR24-2-19-1	chr19	-	13836287	13836359	MIR24-2	407013
MIR324-17-1	chr17	-	7223297	7223379	MIR324	442898
GADD45G-9-1	chr9	+	89605009	89606555	GADD45G	10912
GIMAP1-GIMAP5-7-1	chr7	+	150716557	150743649	GIMAP1-GIMAP5	100527949
MIR4505-14-1	chr14	+	73758747	73758819	MIR4505	100616158
SNORD91A-17-1	chr17	-	2330279	2330370	SNORD91A	692207
RASSF10-11-1	chr11	+	13009423	13012106	RASSF10	644943
MIR670-11-1	chr11	+	43559656	43559753	MIR670	100313777
PPTC7-12-1	chr12	-	110533245	110583259	PPTC7	160760
SLC25A45-11-1	chr11	-	65375192	65383701	SLC25A45	283130
CHRNA7-15-1	chr15	+	32030462	32172521	CHRNA7	1139
SLC5A6-2-1	chr2	-	27199587	27212342	SLC5A6	8884
LRFN3-19-1	chr19	+	35937120	35945195	LRFN3	79414
COMMD3-10-1	chr10	+	22316383	22320317	COMMD3	23412
PIK3R5-17-1	chr17	-	8878916	8965712	PIK3R5	23533
ZNF675-19-1	chr19	-	23652906	23687215	ZNF675	171392
WDR64-1-1	chr1	+	241652278	241802767	WDR64	128025
LINC02042-3-1	chr3	-	112736449	112749319	LINC02042	101929694
BGLAP-1-1	chr1	+	156241962	156243332	BGLAP	632
SPAG7-17-1	chr17	-	4959226	4967837	SPAG7	9552
LINC00272-1-1	chr1	+	182407621	182414813	LINC00272	388719
TSL-7-1	chr7	+	27615974	27627492	TSL	790953
C19ORF73-19-1	chr19	-	49118397	49119140	C19orf73	55150
TXN2-22-1	chr22	-	36467036	36482025	TXN2	25828
LOC105274304-17-1	chr17	+	76671928	76673658	LOC105274304	105274304
RNF128-23-1	chrX	+	106693838	106797016	RNF128	79589
APC2-19-1	chr19	+	1446268	1473244	APC2	10297
FLJ36777-4-1	chr4	-	7097424	7103376	LINC02447	730971
C19ORF69-19-1	chr19	+	41442426	41444765	ERICH4	100170765
SLC8B1-12-1	chr12	-	113298766	113335168	SLC8B1	80024
CELA1-12-1	chr12	-	51328443	51346679	CELA1	1990
GALNTL6-4-1	chr4	+	171812656	173040408	GALNTL6	442117
DUSP7-3-1	chr3	-	52048919	52056445	DUSP7	1849
KCNK13-14-1	chr14	+	90061765	90185857	KCNK13	56659
CALD1-7-1	chr7	+	134779413	134970729	CALD1	800
DHRS2-14-1	chr14	+	23630115	23645639	DHRS2	10202
CKS2-9-1	chr9	+	89311195	89316703	CKS2	1164
BDKRB1-14-1	chr14	+	96256210	96264763	BDKRB1	623
ATP10D-4-1	chr4	+	47485261	47593486	ATP10D	57205
CTNNA3-10-1	chr10	-	65912518	67696217	CTNNA3	29119
MIR451B-17-1	chr17	+	28861371	28861438	MIR451B	100616273
RHBG-1-1	chr1	+	156366044	156385221	RHBG	57127
POLDIP2-17-1	chr17	-	28346628	28357589	POLDIP2	26073
SNORD115-17-15-1	chr15	+	25201323	25201404	SNORD115-17	100033455
RPSAP58-19-1	chr19	+	23762944	23835146	RPSAP58	388524
OR52N2-11-1	chr11	+	5803433	5822675	OR52N2	390077
LARP4B-10-1	chr10	-	806914	931900	LARP4B	23185
TP53TG3E-16-1	chr16	+	33301850	33306942	TP53TG3E	102724101
VBP1-23-1	chrX	+	155197007	155239841	VBP1	7411
PIPOX-17-1	chr17	+	29042900	29057227	PIPOX	51268
HCG14-6-1	chr6	+	28896530	28897320	HCG14	414760
LRRC37A-17-1	chr17	+	46295131	46337794	LRRC37A	9884
ETFB-19-1	chr19	-	51345155	51366418	ETFB	2109
PLEKHG4B-5-1	chr5	+	92110	189972	PLEKHG4B	153478
LOC102724153-14-1	chr14	-	75574901	75579588	LOC102724153	102724153
TSPAN17-5-1	chr5	+	176647387	176659058	TSPAN17	26262
RNASE10-14-1	chr14	+	20510472	20511122	RNASE10	338879
SPINK13-5-1	chr5	+	148268860	148286210	SPINK13	153218
PPFIA3-19-1	chr19	+	49119389	49151030	PPFIA3	8541
AKAP10-17-1	chr17	-	19904302	19977856	AKAP10	11216
SYNPO-5-1	chr5	+	150586026	150659230	SYNPO	11346
MIR2467-2-1	chr2	-	239351724	239351804	MIR2467	100616360
PRSS47-9-1	chr9	-	92184332	92191156	PRSS47	138652
NHLRC2-10-1	chr10	+	113854632	113912506	NHLRC2	374354
PKP3-11-1	chr11	+	392599	404908	PKP3	11187
CRYAA-21-1	chr21	+	43169008	43172810	CRYAA	1409
LINC00366-13-1	chr13	+	38567724	38579516	LINC00366	100874147
CCDC130-19-1	chr19	+	13731760	13763298	CCDC130	81576
MAST4-AS1-5-1	chr5	-	67001618	67004154	MAST4-AS1	101928794
SOCS7-17-1	chr17	+	38351876	38405593	SOCS7	30837
PATE2-11-1	chr11	-	125776130	125778819	PATE2	399967
PIGN-18-1	chr18	-	62044224	62187118	PIGN	23556
FAM117B-2-1	chr2	+	202635178	202769757	FAM117B	150864
DBH-9-1	chr9	+	133636363	133659344	DBH	1621
CNTD1-17-1	chr17	+	42798749	42811587	CNTD1	124817
CDC25B-20-1	chr20	+	3786772	3806121	CDC25B	994
LOC349160-7-1	chr7	-	136898773	137164341	LOC349160	349160
LINC00534-8-1	chr8	+	90221488	90387959	LINC00534	100874052
SEM1-7-1	chr7	-	96481626	96709891	SEM1	7979
MIR24-1-9-1	chr9	+	95086021	95086088	MIR24-1	407012
CAPN7-3-1	chr3	+	15206226	15252916	CAPN7	23473
ALX4-11-1	chr11	-	44260728	44310166	ALX4	60529
NUTM2G-9-1	chr9	+	96929004	96942290	NUTM2G	441457
CDK11A-1-1	chr1	-	1702383	1724565	CDK11A	728642
CAMKK2-12-1	chr12	-	121237692	121298308	CAMKK2	10645
SNORD116-16-15-1	chr15	+	25082767	25082860	SNORD116-16	100033428
LINC01737-1-1	chr1	-	230592660	230595583	LINC01737	101927553
NANOGP8-15-1	chr15	-	35083410	35085408	NANOGP8	388112
ZFP2-5-1	chr5	+	178895894	178933212	ZFP2	80108
THRA-17-1	chr17	+	40062193	40093867	THRA	7067
CHRM3-AS2-1-1	chr1	-	239707126	239719119	CHRM3-AS2	100506915
SNAP47-1-1	chr1	+	227728168	227781231	SNAP47	116841
BEND3P3-10-1	chr10	+	79682975	79688897	BEND3P3	650623
LOC101927417-1-1	chr1	-	15326680	15343883	LOC101927417	101927417
ANO6-12-1	chr12	+	45215987	45440404	ANO6	196527
ARPP21-3-1	chr3	+	35639174	35798933	ARPP21	10777
TOB1-AS1-17-1	chr17	+	50866679	50868371	TOB1-AS1	400604
VENTX-10-1	chr10	+	133237904	133241930	VENTX	27287
OR2T35-1-1	chr1	-	248638287	248639258	OR2T35	403244
HOXD9-2-1	chr2	+	176122685	176124917	HOXD9	3235
MIR7855-14-1	chr14	-	64785626	64785686	MIR7855	102465841
ACTG1P4-1-1	chr1	+	103569404	103571391	ACTG1P4	648740
HSD11B1-1-1	chr1	+	209686180	209734950	HSD11B1	3290
TRIM51-11-1	chr11	+	55883297	55891810	TRIM51	84767
NTF3-12-1	chr12	+	5432114	5495299	NTF3	4908
STRIP1-1-1	chr1	+	110031577	110054641	STRIP1	85369
MIR605-10-1	chr10	+	51299573	51299655	MIR605	693190
NDUFA5-7-1	chr7	-	123536997	123601651	NDUFA5	4698
LINC01162-7-1	chr7	+	20835431	21023148	LINC01162	104355138
BCL7A-12-1	chr12	+	122021886	122062044	BCL7A	605
EIF3G-19-1	chr19	-	10115014	10119924	EIF3G	8666
WDR52-3-1	chr3	-	113286930	113441514	CFAP44	55779
NKX2-2-20-1	chr20	-	21511010	21514026	NKX2-2	4821
HSF4-16-1	chr16	+	67163385	67169945	HSF4	3299
C1ORF141-1-1	chr1	-	67092176	67141646	C1orf141	400757
C10ORF82-10-1	chr10	-	116662211	116670290	C10orf82	143379
TMEM74-8-1	chr8	-	108606850	108787615	TMEM74	157753
EPCAM-2-1	chr2	+	47369148	47387028	EPCAM	4072
LOC101929095-4-1	chr4	-	15004942	15427914	LOC101929095	101929095
MIR4636-5-1	chr5	-	9053816	9053895	MIR4636	100616326
TTTY11-24-1	chrY	-	8783313	8817382	TTTY11	83866
LYG1-2-1	chr2	-	99284238	99304775	LYG1	129530
AUP1-2-1	chr2	-	74526648	74529897	AUP1	550
SIDT1-3-1	chr3	+	113532296	113629579	SIDT1	54847
USMG5-10-1	chr10	-	103389050	103396513	ATP5MD	84833
LINC01098-4-1	chr4	+	177728757	177990750	LINC01098	285501
LINC00312-3-1	chr3	+	8571782	8574668	LINC00312	29931
MYO18B-22-1	chr22	+	25742133	26063847	MYO18B	84700
TOR1A-9-1	chr9	-	129812942	129824162	TOR1A	1861
AARD-8-1	chr8	+	116938225	116944000	AARD	441376
DDX41-5-1	chr5	-	177511577	177517326	DDX41	51428
MIR15B-3-1	chr3	+	160404588	160404685	MIR15B	406949
LAMA5-AS1-20-1	chr20	+	62353010	62356480	LAMA5-AS1	101928158
MX2-21-1	chr21	+	41361944	41408943	MX2	4600
SIAH1-16-1	chr16	-	48354581	48448435	SIAH1	6477
CCDC108-2-1	chr2	-	219002846	219043142	CFAP65	255101
CHMP6-17-1	chr17	+	80991841	81000133	CHMP6	79643
PHF2-9-1	chr9	+	93576627	93679587	PHF2	5253
TNFRSF9-1-1	chr1	-	7915871	7943165	TNFRSF9	3604
IL23A-12-1	chr12	+	56334159	56340410	IL23A	51561
TALDO1-11-1	chr11	+	747432	765024	TALDO1	6888
LPO-17-1	chr17	+	58238426	58268518	LPO	4025
IL7R-5-1	chr5	+	35856849	35879603	IL7R	3575
AMN1-12-1	chr12	-	31671137	31729174	AMN1	196394
LINC01273-20-1	chr20	+	50172570	50176671	LINC01273	101927541
RUNDC1-17-1	chr17	+	42980516	42995143	RUNDC1	146923
SC5D-11-1	chr11	+	121292679	121313410	SC5D	6309
